Idx,Source Language Code,Target Language Code,Optimized Sinkhorn Distance (Predictor),Cycle Sinkhorn (Performance),GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,MUSE (Performance),Artetxe17 (Performance),Artetxe16 (Performance)
1,afr,eng,1.3671,20.2,0.6,0.63,0.6,0.5687,0.5144,0.4,nan,23.67,30.07
2,eng,afr,1.3671,17.4,0.6,0.63,0.6,0.5687,0.5144,0.4,nan,22.2,27.67
3,ara,eng,1.3733,42.37,1,0.57,0.6,0.5687,0.5983,1,0.134,39.96,47.05
4,eng,ara,1.3733,25.2,1,0.57,0.6,0.5687,0.5983,1,nan,26.53,36.93
5,bul,eng,1.3652,49.67,0.8571,0.48,0.5,0.2804,0.521,0.1,26.47,47.27,53.27
6,eng,bul,1.3652,34.13,0.8571,0.48,0.5,0.2804,0.521,0.1,13.87,34.4,43.4
7,ben,eng,1.3642,12.5,0.875,0.7,0.6,0.4054,0.4982,0.4,nan,8.29,22.59
8,eng,ben,1.3642,7.47,0.875,0.7,0.6,0.4054,0.4982,0.4,nan,6.2,19.87
9,bos,eng,1.3823,22.73,0.9,0.61,0.8,0.5687,0.5983,0.1,nan,20.8,31.6
10,eng,bos,1.3823,12.33,0.9,0.61,0.8,0.5687,0.5983,0.1,nan,13.6,28.4
11,cat,eng,1.3666,58.33,0.9,0.53,0.5,0.2804,0.4581,0.1,41,61.27,65.27
12,eng,cat,1.3666,54.47,0.9,0.53,0.5,0.2804,0.4581,0.1,33.07,56.73,60.87
13,ces,eng,1.369,52,0.9,0.66,0.6,0.5687,0.5368,0.1,60,53.6,58.67
14,eng,ces,1.369,37.73,0.9,0.66,0.6,0.5687,0.5368,0.1,48.2,40.87,51.6
15,dan,eng,1.3656,55.87,0.7,0.5,0.7,0.5687,0.5983,0,60.87,57.47,61.07
16,eng,dan,1.3656,44.6,0.7,0.5,0.7,0.5687,0.5983,0,49.27,45.2,51.33
17,deu,eng,1.3509,67,0.4286,0.42,0.4,0.3277,0.4364,0.1,69.87,68.07,69.13
18,eng,deu,1.3509,68.87,0.4286,0.42,0.4,0.3277,0.4364,0.1,71.53,69.2,72.13
19,ell,eng,1.371,50.33,0.8333,0.52,0.5,0.195,0.5516,0.1,55.73,47.2,55.27
20,eng,ell,1.371,34.6,0.8333,0.52,0.5,0.195,0.5516,0.1,39.6,35.93,42.73
21,spa,eng,1.352,77.8,0.9,0.4,0.5,0.3433,0.5481,0.1,78.53,75.6,78.27
22,eng,spa,1.352,79.53,0.9,0.4,0.5,0.3433,0.5481,0.1,79.4,78.2,80.07
23,est,eng,1.3727,27.67,1,0.54,0.7,0.5687,0.5983,0.1,34.53,27.73,39.67
24,eng,est,1.3727,16.13,1,0.54,0.7,0.5687,0.5983,0.1,18.33,19.2,34.6
25,fas,eng,1.3721,30.48,1,0.57,0.6,0.5687,0.5983,1,34.9,26.93,36.37
26,eng,fas,1.3721,25.6,1,0.57,0.6,0.5687,0.5983,1,28.27,22.33,34.13
27,fin,eng,1.3666,47.07,1,0.53,0.5,0.2736,0.4694,0.1,57.4,43,54
28,eng,fin,1.3666,31.73,1,0.53,0.5,0.2736,0.4694,0.1,38.73,32.33,46.4
29,fra,eng,1.3523,75.33,0.9,0.46,0.5,0.427,0.4753,0,77.67,74.47,77.73
30,eng,fra,1.3523,77.93,0.9,0.46,0.5,0.427,0.4753,0,78.33,77.67,79.2
31,heb,eng,1.3711,47.2,1,0.52,0.6,0.5687,0.5549,0.2,51.47,44.53,50.4
32,eng,heb,1.3711,29.93,1,0.52,0.6,0.5687,0.5549,0.2,36.27,27.6,42.4
33,hin,eng,1.3795,26.93,0.9,0.59,0.5,0.3433,0.4684,0.4,nan,29.6,38.65
34,eng,hin,1.3795,21.2,0.9,0.59,0.5,0.3433,0.4684,0.4,nan,25.2,33.27
35,hrv,eng,1.3747,40.56,0.9,0.79,0.6,0.5687,0.5093,0.1,42.09,35.69,46.5
36,eng,hrv,1.3747,24.93,0.9,0.79,0.6,0.5687,0.5093,0.1,25.67,23.93,37.27
37,hun,eng,1.3711,52.13,1,0.6,0.5,0.3433,0.4581,0.1,59.33,47.33,57.33
38,eng,hun,1.3711,39.4,1,0.6,0.5,0.3433,0.4581,0.1,46.93,40.27,52.2
39,ind,eng,1.3746,56,1,0.52,0.5,0.2736,0.4546,0.6,60.67,56,60.4
40,eng,ind,1.3746,56.8,1,0.52,0.5,0.2736,0.4546,0.6,59,56.4,61.2
41,ita,eng,1.3619,72.07,0.9,0.51,0.5,0.5687,0.5064,0.1,74.6,70.53,73.6
42,eng,ita,1.3619,73.87,0.9,0.51,0.5,0.5687,0.5064,0.1,75.8,71.67,74.47
45,kor,eng,1.3572,14.17,1,0.62,0.5,0.4638,0.4866,0.4,18.41,10.4,24.02
46,eng,kor,1.3572,9.01,1,0.62,0.5,0.4638,0.4866,0.4,19.04,11.95,39.86
47,lit,eng,1.3694,21.93,0.9,0.68,0.5,0.3498,0.4694,0.1,nan,20.8,28.93
48,eng,lit,1.3694,12.4,0.9,0.68,0.5,0.3498,0.4694,0.1,nan,13.6,24.73
49,lav,eng,1.3729,28.13,0.9,0.59,0.7,0.3433,0.5983,0.1,nan,24.07,35.8
50,eng,lav,1.3729,12.8,0.9,0.59,0.7,0.3433,0.5983,0.1,nan,12.2,26.47
51,mkd,eng,1.365,42.93,0.9,0.57,0.6,0.5687,0.5064,0.1,49.67,42.87,50.4
52,eng,mkd,1.365,28,0.9,0.57,0.6,0.5687,0.5064,0.1,32.47,30.93,41.2
53,msa,eng,1.373,23.95,1,0.57,0.6,0.5687,0.5983,1,nan,31.09,39.03
54,eng,msa,1.373,29.6,1,0.57,0.6,0.5687,0.5983,1,nan,38.73,44.33
55,nld,eng,1.3669,65.27,0.6,0.49,0.5,0.5687,0.4861,0,70.67,64.4,68.33
56,eng,nld,1.3669,67.87,0.6,0.49,0.5,0.5687,0.4861,0,69.4,66.93,69.6
57,nor,eng,1.3716,55.73,0.7,0.59,0.8,0.5687,0.5983,0.1,62.2,55.33,61.6
58,eng,nor,1.3716,50.2,0.7,0.59,0.8,0.5687,0.5983,0.1,55.73,50.93,57.4
59,pol,eng,1.368,58.47,0.9,0.59,0.5,0.2804,0.5472,0.1,62.87,54.6,63.67
60,eng,pol,1.368,46.53,0.9,0.59,0.5,0.2804,0.5472,0.1,53.33,45,55.73
61,por,eng,1.3623,72,0.9,0.47,0.5,0.5687,0.4235,0.1,75.33,72.2,74.87
62,eng,por,1.3623,73.53,0.9,0.47,0.5,0.5687,0.4235,0.1,76.07,73.53,74.8
63,ron,eng,1.3722,56.4,0.9,0.53,0.5,0.3498,0.4997,0.1,63.33,57,62.67
64,eng,ron,1.3722,44.87,0.9,0.53,0.5,0.3498,0.4997,0.1,51.93,47.4,54.93
65,rus,eng,1.3627,50.93,0.9,0.49,0.5,0.2804,0.5594,0.2,58.07,51.2,60.13
66,eng,rus,1.3627,35.73,0.9,0.49,0.5,0.2804,0.5594,0.2,39.33,38.87,52.47
67,slk,eng,1.3725,40.87,0.9,0.57,0.6,0.5687,0.5983,0.1,48.13,41.4,51.27
68,eng,slk,1.3725,23.27,0.9,0.57,0.6,0.5687,0.5983,0.1,29.33,24.13,36.8
69,slv,eng,1.3796,37.67,0.9,0.56,0.5,0.5687,0.4546,0.1,nan,35.13,45.4
70,eng,slv,1.3796,20.07,0.9,0.56,0.5,0.5687,0.4546,0.1,0.133,21.4,35.33
71,sqi,eng,1.3732,27.73,1,0.57,0.6,0.5687,0.5983,1,nan,27.8,38.2
72,eng,sqi,1.3732,12.07,1,0.57,0.6,0.5687,0.5983,1,nan,13.47,25.27
73,swe,eng,1.3702,48.13,0.7,0.42,0.5,0.5687,0.5242,0.1,24.27,38.07,54.07
74,eng,swe,1.3702,50.47,0.7,0.42,0.5,0.5687,0.5242,0.1,24.47,44.2,55.93
75,tam,eng,1.3678,9.38,1,0.71,0.6,0.5687,0.5014,0.4,nan,7.17,20.56
76,eng,tam,1.3678,7.6,1,0.71,0.6,0.5687,0.5014,0.4,nan,6.27,18.8
77,tha,eng,1.3627,3.65,1,0.56,0.5,0.39,0.4147,0.5,nan,0.54,8.91
78,eng,tha,1.3627,12.53,1,0.56,0.5,0.39,0.4147,0.5,nan,5.33,28.07
79,tgl,eng,1.3789,7.47,1,0.66,0.5,0.3433,0.461,0.5,nan,7.27,15.93
80,eng,tgl,1.3789,5.27,1,0.66,0.5,0.3433,0.461,0.5,nan,8.67,20.73
81,tur,eng,1.3676,47.5,1,0.7,0.6,0.3433,0.5183,0.1,55.7,48.03,52.84
82,eng,tur,1.3676,34.33,1,0.7,0.6,0.3433,0.5183,0.1,41.33,34.93,45.2
83,ukr,eng,1.3712,41.6,0.9,0.51,0.5,0.5687,0.4661,0.1,45.53,38.87,44.2
84,eng,ukr,1.3712,23.13,0.9,0.51,0.5,0.5687,0.4661,0.1,27.27,21.87,33.73
85,vie,eng,1.3777,0,1,0.57,0.5,0.427,0.455,0.5,0.133,0.333,45.8
86,eng,vie,1.3777,0,1,0.57,0.5,0.427,0.455,0.5,0.067,0.8,33.6
87,zho,eng,1.3646,0,1,0.57,0.6,0.5687,0.5983,1,nan,6.4,33.07
88,eng,zho,1.3646,0,1,0.57,0.6,0.5687,0.5983,1,nan,5.07,44.87